zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60301,0.0983,2.0871,1.1924,1.1372,9.8327,2.7264,0.8374,2.4297,1.8473,0.2346,0.3289,0.9061
60302,0.7045,2.3503,0.7356,0.8308,9.5204,3.1307,0.5898,1.8548,1.2333,0.5869,0.706,0.8032
60304,1.2335,1.299,0.7274,1.9831,11.0195,3.5991,0.5883,2.3952,0.9628,0.715,1.4396,0.5546
60305,0.2312,1.2227,1.4721,0.6704,9.2577,1.6045,1.1803,2.5818,2.5848,0.4627,0.8666,0.9855
60402,0.1364,2.4938,0.1787,2.625,8.9174,4.1878,0.869,0.1533,0.4119,0.2021,0.4404,1.2147
60406,0.2136,3.3197,3.3095,1.2731,5.0195,6.9966,1.4488,3.576,3.9299,2.2969,4.4683,2.5754
60407,13.0905,21.6589,21.1445,1.3281,4.6166,5.3213,11.9505,21.661,21.5662,4.343,32.9273,22.0708
60408,13.5344,18.7214,18.0264,0.461,2.1347,1.9262,8.9777,18.7492,18.7463,0.9276,29.9387,19.2739
60409,1.3202,1.3428,1.3795,1.0782,3.4406,9.6355,1.0625,4.1979,0.2541,4.2554,4.1323,5.1152
60410,3.9042,8.2974,7.7313,2.9637,7.4268,2.0908,2.5788,8.2878,8.0917,5.3249,19.5448,8.5768
60411,1.6712,3.3836,5.8385,0.2023,5.9857,2.1853,1.5308,1.1353,2.1283,3.2701,10.6355,10.0684
60415,2.2992,2.1718,0.6921,2.5826,4.5563,3.7455,0.4528,2.7257,1.2761,1.3168,2.889,1.2855
60416,9.8165,17.852,17.2979,1.5456,3.4566,4.0441,8.463,17.8458,17.6615,3.763,29.1144,18.1402
60419,1.1025,1.0814,0.4442,2.6347,2.1763,10.3997,0.9005,3.4866,2.826,1.5745,2.4262,3.0813
60420,19.4329,27.2871,18.7406,3.8436,4.033,4.7481,20.6455,33.6665,28.0747,16.8439,44.9211,33.9177
60421,6.9325,6.8486,5.0824,2.9674,7.9872,4.8188,4.6736,7.1629,7.3781,3.188,17.4221,8.1638
